name,deviation,heartbeat,decimals,address
REQ_USD,2%,24h,8,0x2F05888D185970f178f40610306a0Cc305e52bBF
RGT_ETH,2%,24h,18,0xc16935B445F4BDC172e408433c8f7101bbBbE368
RLC_ETH,2%,24h,18,0x4cba1e1fdc738D0fe8DB3ee07728E2Bc4DA676c6
RSR_USD,2%,24h,8,0x759bBC1be8F90eE6457C44abc7d443842a976d02
RUB_USD,0.5%,24h,8,0x73A11E47325e3C9b6a48B8ed48Ee0ba89109FB75
RUNE_ETH,2%,24h,18,0x875D60C44cfbC38BaA4Eb2dDB76A767dEB91b97e
RUNE_USD,1%,24h,8,0x48731cF7e84dc94C5f84577882c14Be11a5B7456
SAND_USD,2%,24h,8,0x35E3f7E558C04cE7eEE1629258EcbbA03B36Ec56
SGD_USD,0.15%,24h,8,0xe25277fF4bbF9081C75Ab0EB13B4A13a721f3E13
SHIB_ETH,2%,24h,18,0x8dD1CD88F43aF196ae478e91b9F5E4Ac69A97C61
SLP_ETH,2%,24h,18,0x5EfE7b8304FA77Bb72031203189C0Be0F5596801
SNX_ETH,2%,24h,18,0x79291A9d692Df95334B1a0B3B4AE6bC606782f8c
SNX_USD,1%,24h,8,0xDC3EA94CD0AC27d9A86C180091e7f78C683d3699
SOL_USD,2%,24h,8,0x4ffC43a60e009B551865A93d232E33Fce9f01507
SPELL_USD,1%,24h,8,0x8c110B94C5f1d347fAcF5E1E938AB2db60E3c9a8
SPY_USD,0.5%,24h,8,0x065B8808087C2d7A3C104E276C80Fe6Fc1B47f1c
SRM_ETH,2%,24h,18,0x050c048c9a0CD0e76f166E2539F87ef2acCEC58f
STAKE_ETH,2%,24h,18,0xa1FFC11Eaa62d34C3B3272270AEcF9D879773B32
STMX_USD,2%,24h,8,0x00a773bD2cE922F866BB43ab876009fb959d7C29
SUSD_ETH,1%,24h,18,0x8e0b7e6062272B5eF4524250bFFF8e5Bd3497757
SUSHI_ETH,2%,24h,18,0xe572CeF69f43c2E488b33924AF04BDacE19079cf
SUSHI_USD,1%,1h,8,0xCc70F09A6CC17553b2E31954cD36E4A2d89501f7
SXP_USD,1%,24h,8,0xFb0CfD6c19e25DB4a08D8a204a387cEa48Cc138f
TOKE_USD,2%,24h,8,0x104cD02b2f22972E8d8542867a36bDeDA4f104d8
TOMO_USD,2%,24h,8,0x3d44925a8E9F9DFd90390E58e92Ec16c996A331b
TRIBE_ETH,2%,24h,18,0x84a24deCA415Acc0c395872a9e6a63E27D6225c8
TRU_USD,2%,24h,8,0x26929b85fE284EeAB939831002e1928183a10fb1
TRX_USD,1%,24h,8,0xacD0D1A29759CC01E8D925371B72cb2b5610EA25
TRY_USD,0.5%,24h,8,0xB09fC5fD3f11Cf9eb5E1C5Dba43114e3C9f477b5
TSLA_USD,0.5%,24h,8,0x1ceDaaB50936881B3e449e47e40A2cDAF5576A4a
TUSD_ETH,1%,24h,18,0x3886BA987236181D98F2401c507Fb8BeA7871dF2
TUSD Reserves,5%,24h,8,0x478f4c42b877c697C4b19E396865D4D533EcB6ea
TUSD Supply,5%,24h,8,0x807b029DD462D5d9B9DB45dff90D3414013B969e
Total Marketcap_USD,1%,24h,8,0xEC8761a0A73c34329CA5B1D3Dc7eD07F30e836e2
UFT_USD,2%,24h,8,0x2788330dC1eE04cffAb7804A151ef4807880E143
UMA_ETH,2%,24h,18,0xf817B69EA583CAFF291E287CaE00Ea329d22765C
UNI_ETH,2%,24h,18,0xD6aA3D25116d8dA79Ea0246c4826EB951872e02e
UNI_USD,1%,1h,8,0x553303d460EE0afB37EdFf9bE42922D8FF63220e
USDC_ETH,1%,24h,18,0x986b5E1e1755e3C2440e960477f25201B0a8bbD4
USDC_USD,0.5%,24h,8,0x8fFfFfd4AfB6115b954Bd326cbe7B4BA576818f6
USDK_USD,1%,24h,8,0xfAC81Ea9Dd29D8E9b212acd6edBEb6dE38Cb43Af
USDN_USD,0.5%,24h,8,0x7a8544894F7FD0C69cFcBE2b4b2E277B0b9a4355
USDP_USD,1%,1h,8,0x09023c0DA49Aaf8fc3fA3ADF34C6A7016D38D5e3
USDT_ETH,1%,24h,18,0xEe9F2375b4bdF6387aa8265dD4FB8F16512A1d46
USDT_USD,0.5%,24h,8,0x3E7d1eAB13ad0104d2750B8863b489D65364e32D
UST_ETH,2%,24h,18,0xa20623070413d42a5C01Db2c8111640DD7A5A03a
UST_USD,0.3%,24h,8,0x8b6d9085f310396C6E4f0012783E9f850eaa8a82
VXX_USD,10%,24h,8,0xC18F2a0C166A091fcD5E2051EFEFD63c4f4A27E9
Vesper Finance TVL,2%,6h,8,0x13e9cF2Cc0577b0D831878055dA0629F98D194c2
WAVES_USD,2%,24h,8,0x9a79fdCd0E326dF6Fa34EA13c05d3106610798E9
WBTC PoR,1e-7%,24h,8,0xa81FE04086865e63E12dD3776978E49DEEa2ea4e
WING_USD,2%,24h,8,0x134fE0a225Fb8e6683617C13cEB6B3319fB4fb82
WNXM_ETH,2%,24h,18,0xe5Dc0A609Ab8bCF15d3f35cFaa1Ff40f521173Ea
WOO_ETH,2%,24h,18,0x926a93B44a887076eDd00257E5D42fafea313363
WTI_USD,0.3%,24h,8,0xf3584F4dd3b467e73C2339EfD008665a70A4185c
XAG_USD,0.3%,24h,8,0x379589227b15F1a12195D3f2d90bBc9F31f95235
XAU_USD,0.3%,24h,8,0x214eD9Da11D2fbe465a6fc601a91E62EbEc1a0D6
XLM_USD,2%,24h,8,0x64168007BAcbB5fF3f52639db22C6300827f5036
XMR_USD,1%,24h,8,0xFA66458Cce7Dd15D8650015c4fce4D278271618F
XRP_USD,1%,24h,8,0xCed2660c6Dd1Ffd856A5A82C67f3482d88C50b12
XSUSHI_ETH,2%,24h,18,0x7f59A29507282703B4A796D02cAcf23388FfF00D
